scenario,run,success,fail_reason,detected_seconds,promoted_seconds,rto_seconds,rejoin_seconds,pgpool_recovery_seconds,split_brain,primary_count_end,standby_count_end,integrity_ok,txid_before,txid_after,marker_exists_after,readyz_5xx_count,readyz_non200_count,readyz_avg_ms,readyz_p95_ms,alert_fired,alert_cleared_after,deleted_pod,promoted_pod,started_at,finished_at,precheck_seconds,failure_action_seconds,recovery_wait_seconds,verification_seconds,verify_integrity_seconds,verify_roles_seconds,verify_alert_seconds,verify_readyz_seconds,wall_seconds,core_success,extended_success,fail_codes
primary_failover,1,True,,0.15,1.44,27.31,12.58,,False,1,2,True,3169,3185,True,1,1,,,False,False,postgres-ha-0,postgres-ha-1,2026-03-25T11:26:15.586341+00:00,2026-03-25T11:30:27.918621+00:00,3.01,28.86,216.21,4.25,2.22,0.55,0.07,1.41,252.33,True,False,FAIL_PGPOOL_RECOVERY_TIMEOUT|FAIL_ALERT_UNCLEARED|FAIL_READYZ_5XX
primary_failover,2,True,,0.12,1.4,16.21,12.39,34.94,False,1,2,True,3187,3202,True,0,0,,,True,False,postgres-ha-1,postgres-ha-0,2026-03-25T11:30:29.918962+00:00,2026-03-25T11:32:07.396293+00:00,2.95,17.74,17.21,59.59,2.15,0.52,0.07,56.84,97.48,True,False,FAIL_ALERT_UNCLEARED
primary_failover,3,True,,0.13,0.13,27.17,42.23,69.91,False,1,2,True,3204,3220,True,0,0,,,True,True,postgres-ha-0,postgres-ha-1,2026-03-25T11:32:09.396918+00:00,2026-03-25T11:33:46.610653+00:00,3.02,27.44,42.47,24.28,2.2,0.58,0.07,21.44,97.21,True,True,
primary_failover,4,True,,0.12,1.37,20.76,6.64,51.53,False,1,2,True,3222,3238,True,0,0,33.45,37.69,False,False,postgres-ha-1,postgres-ha-0,2026-03-25T11:33:48.610995+00:00,2026-03-25T11:35:25.784867+00:00,2.86,22.27,29.26,42.78,2.44,0.67,0.07,39.6,97.17,True,False,FAIL_ALERT_UNCLEARED
primary_failover,5,True,,0.16,0.16,27.29,58.84,86.69,False,1,2,True,3240,3256,True,0,0,26.08,41.74,True,True,postgres-ha-0,postgres-ha-1,2026-03-25T11:35:27.785093+00:00,2026-03-25T11:37:07.017549+00:00,2.98,27.57,59.11,9.57,2.18,0.53,0.09,6.75,99.23,True,True,
primary_failover,6,True,,0.12,1.37,17.59,12.47,244.34,False,1,2,True,3258,3274,True,1,1,,,False,False,postgres-ha-1,postgres-ha-0,2026-03-25T11:37:09.017680+00:00,2026-03-25T11:41:20.830992+00:00,3.23,19.09,225.24,4.24,2.21,0.61,0.07,1.35,251.81,True,False,FAIL_ALERT_UNCLEARED|FAIL_READYZ_5XX
primary_failover,7,True,,0.14,1.38,32.13,12.63,49.9,False,1,2,True,3276,3292,True,1,1,22.57,41.86,False,False,postgres-ha-0,postgres-ha-1,2026-03-25T11:41:22.831544+00:00,2026-03-25T11:43:48.916420+00:00,2.84,33.64,16.27,93.34,2.37,0.57,0.07,90.34,146.08,True,False,FAIL_ALERT_UNCLEARED|FAIL_READYZ_5XX
primary_failover,8,True,,0.17,1.49,21.18,41.84,,False,1,2,True,3294,3310,True,1,1,,,False,False,postgres-ha-1,postgres-ha-0,2026-03-25T11:43:50.917010+00:00,2026-03-25T11:48:02.510703+00:00,3.08,22.83,221.37,4.31,2.32,0.53,0.09,1.37,251.59,True,False,FAIL_PGPOOL_RECOVERY_TIMEOUT|FAIL_ALERT_UNCLEARED|FAIL_READYZ_5XX
primary_failover,9,False,FAIL_SPLIT_BRAIN|FAIL_NO_PROMOTION|FAIL_READYZ_5XX,0.15,0.15,,47.54,75.78,True,1,2,True,3312,3328,True,1,1,33.7,68.91,True,True,postgres-ha-0,postgres-ha-1,2026-03-25T11:48:04.511075+00:00,2026-03-25T11:50:19.853672+00:00,3.2,27.99,47.79,56.36,2.31,0.57,0.07,53.41,135.34,False,False,FAIL_SPLIT_BRAIN|FAIL_NO_PROMOTION|FAIL_READYZ_5XX
primary_failover,10,False,FAIL_SPLIT_BRAIN|FAIL_NO_PROMOTION|FAIL_ALERT_UNCLEARED,0.15,0.15,,47.35,76.09,True,1,2,True,3354,3370,True,0,0,,,True,False,postgres-ha-1,postgres-ha-0,2026-03-25T11:52:15.679979+00:00,2026-03-25T11:53:53.334608+00:00,3.02,28.48,47.62,18.54,2.56,0.56,0.07,15.35,97.65,False,False,FAIL_SPLIT_BRAIN|FAIL_NO_PROMOTION|FAIL_ALERT_UNCLEARED
