scenario,run,success,fail_reason,detected_seconds,promoted_seconds,rto_seconds,rejoin_seconds,pgpool_recovery_seconds,split_brain,primary_count_end,standby_count_end,integrity_ok,txid_before,txid_after,marker_exists_after,readyz_5xx_count,readyz_non200_count,readyz_avg_ms,readyz_p95_ms,alert_fired,alert_cleared_after,deleted_pod,promoted_pod,started_at,finished_at,precheck_seconds,failure_action_seconds,recovery_wait_seconds,verification_seconds,verify_integrity_seconds,verify_roles_seconds,verify_alert_seconds,verify_readyz_seconds,wall_seconds,core_success,extended_success,fail_codes
standby_recovery,1,True,,,,,0.84,0.28,False,1,2,True,3403,3413,True,0,0,31.81,56.22,True,False,postgres-ha-0,,2026-03-25T11:55:39.200209+00:00,2026-03-25T11:57:54.273340+00:00,8.78,120.91,1.12,4.26,2.28,0.55,0.07,1.36,135.07,True,False,FAIL_ALERT_UNCLEARED
standby_recovery,2,True,,,,,0.79,0.29,False,1,2,True,3415,3425,True,0,0,31.61,43.36,False,True,postgres-ha-0,,2026-03-25T11:57:56.273819+00:00,2026-03-25T12:00:05.678892+00:00,3.17,121.1,1.08,4.06,2.06,0.55,0.09,1.36,129.41,True,True,
standby_recovery,3,True,,,,,0.84,0.26,False,1,2,True,3427,3437,True,0,0,17.39,36.89,False,True,postgres-ha-0,,2026-03-25T12:00:07.679306+00:00,2026-03-25T12:02:16.258800+00:00,2.88,120.35,1.1,4.25,2.22,0.59,0.07,1.37,128.58,True,True,
standby_recovery,4,True,,,,,1.09,0.34,False,1,2,True,3439,3449,True,0,0,24.16,37.0,False,True,postgres-ha-0,,2026-03-25T12:02:18.259015+00:00,2026-03-25T12:04:28.254216+00:00,3.01,121.19,1.43,4.36,2.22,0.63,0.08,1.44,130.0,True,True,
standby_recovery,5,True,,,,,0.84,0.31,False,1,2,True,3451,3461,True,0,0,31.57,103.8,False,True,postgres-ha-0,,2026-03-25T12:04:30.256659+00:00,2026-03-25T12:06:40.203457+00:00,3.18,121.13,1.15,4.48,2.25,0.63,0.09,1.51,129.95,True,True,
standby_recovery,6,True,,,,,0.81,0.29,False,1,2,True,3463,3473,True,0,0,30.88,56.1,False,True,postgres-ha-0,,2026-03-25T12:06:42.204089+00:00,2026-03-25T12:08:51.538460+00:00,3.41,120.27,1.1,4.55,2.34,0.72,0.09,1.4,129.33,True,True,
standby_recovery,7,True,,,,,0.91,0.44,False,1,2,True,3475,3485,True,0,0,25.22,45.76,False,True,postgres-ha-0,,2026-03-25T12:08:53.538628+00:00,2026-03-25T12:11:03.278398+00:00,3.09,120.64,1.35,4.66,2.5,0.6,0.08,1.49,129.74,True,True,
standby_recovery,8,True,,,,,0.82,0.28,False,1,2,True,3487,3497,True,0,0,26.1,56.62,False,True,postgres-ha-0,,2026-03-25T12:11:05.278908+00:00,2026-03-25T12:13:15.189160+00:00,3.17,121.31,1.1,4.34,2.32,0.59,0.08,1.34,129.91,True,True,
standby_recovery,9,True,,,,,1.17,0.38,False,1,2,True,3499,3509,True,0,0,27.43,97.55,False,True,postgres-ha-0,,2026-03-25T12:13:17.189558+00:00,2026-03-25T12:15:26.973272+00:00,3.01,120.44,1.55,4.78,2.59,0.67,0.09,1.43,129.78,True,True,
standby_recovery,10,True,,,,,1.0,0.3,False,1,2,True,3511,3521,True,0,0,34.62,54.89,False,True,postgres-ha-0,,2026-03-25T12:15:28.973871+00:00,2026-03-25T12:17:39.170441+00:00,3.61,120.46,1.3,4.83,2.63,0.77,0.07,1.35,130.2,True,True,
