scenario,run,success,fail_reason,detected_seconds,promoted_seconds,rto_seconds,rejoin_seconds,pgpool_recovery_seconds,split_brain,primary_count_end,standby_count_end,integrity_ok,txid_before,txid_after,marker_exists_after,readyz_5xx_count,readyz_non200_count,readyz_avg_ms,readyz_p95_ms,alert_fired,alert_cleared_after,deleted_pod,promoted_pod,started_at,finished_at,precheck_seconds,failure_action_seconds,recovery_wait_seconds,verification_seconds,verify_integrity_seconds,verify_roles_seconds,verify_alert_seconds,verify_readyz_seconds,wall_seconds,core_success,extended_success,fail_codes
primary_failover,1,True,,0.14,1.4,27.59,12.39,52.84,False,1,2,True,3019,3035,True,37,37,57.31,59.53,False,False,postgres-ha-1,postgres-ha-0,2026-03-25T10:46:50.767994+00:00,2026-03-25T10:50:01.770927+00:00,3.21,29.13,23.71,134.96,2.09,0.58,0.07,132.22,191.0,True,False,FAIL_ALERT_UNCLEARED|FAIL_READYZ_5XX
primary_failover,2,True,,0.12,1.37,22.55,12.42,36.76,False,1,2,True,3037,3053,True,0,0,27.84,44.72,False,False,postgres-ha-0,postgres-ha-1,2026-03-25T10:50:03.771350+00:00,2026-03-25T10:53:20.175488+00:00,2.89,24.04,12.72,156.76,2.18,0.54,0.07,153.97,196.4,True,False,FAIL_ALERT_UNCLEARED
primary_failover,3,True,,0.13,0.13,27.18,35.53,,False,1,2,True,3055,3071,True,1,1,,,False,False,postgres-ha-1,postgres-ha-0,2026-03-25T10:53:22.175990+00:00,2026-03-25T10:57:29.649640+00:00,2.99,27.43,212.68,4.38,2.29,0.65,0.09,1.35,247.47,True,False,FAIL_PGPOOL_RECOVERY_TIMEOUT|FAIL_ALERT_UNCLEARED|FAIL_READYZ_5XX
primary_failover,4,True,,0.19,1.48,21.65,42.1,67.92,False,1,2,True,3073,3089,True,0,0,,,True,False,postgres-ha-0,postgres-ha-1,2026-03-25T10:57:31.650115+00:00,2026-03-25T10:59:08.936321+00:00,2.91,23.27,44.65,26.45,2.16,0.57,0.07,23.65,97.29,True,False,FAIL_ALERT_UNCLEARED
primary_failover,5,True,,0.14,0.14,21.43,6.8,28.8,False,1,2,True,3091,3107,True,0,0,22.94,46.59,True,False,postgres-ha-1,postgres-ha-0,2026-03-25T10:59:10.936880+00:00,2026-03-25T11:01:10.224672+00:00,2.98,21.71,7.08,87.51,2.28,0.6,0.07,84.57,119.29,True,False,FAIL_ALERT_UNCLEARED
standby_recovery,1,True,,,,,0.9,0.33,False,1,2,True,3109,3119,True,0,0,25.78,50.14,False,True,postgres-ha-1,,2026-03-25T11:01:12.225049+00:00,2026-03-25T11:03:21.191723+00:00,3.21,120.32,1.23,4.21,2.23,0.57,0.07,1.34,128.97,True,True,
standby_recovery,2,True,,,,,0.81,0.27,False,1,2,True,3121,3131,True,0,0,26.92,44.31,False,True,postgres-ha-1,,2026-03-25T11:03:23.192020+00:00,2026-03-25T11:05:31.680343+00:00,3.02,120.2,1.08,4.2,2.22,0.55,0.07,1.36,128.49,True,True,
standby_recovery,3,True,,,,,0.82,0.26,False,1,2,True,3133,3143,True,0,0,33.48,92.62,False,True,postgres-ha-1,,2026-03-25T11:05:33.680662+00:00,2026-03-25T11:07:43.265328+00:00,2.94,121.11,1.09,4.45,2.34,0.66,0.08,1.37,129.58,True,True,
standby_recovery,4,True,,,,,0.92,0.3,False,1,2,True,3145,3155,True,0,0,27.86,57.82,False,True,postgres-ha-1,,2026-03-25T11:07:45.265496+00:00,2026-03-25T11:09:56.058850+00:00,3.16,121.48,1.22,4.94,2.77,0.69,0.09,1.39,130.79,True,True,
standby_recovery,5,True,,,,,0.81,0.3,False,1,2,True,3157,3167,True,0,0,32.39,81.9,False,True,postgres-ha-1,,2026-03-25T11:09:58.059445+00:00,2026-03-25T11:12:07.614117+00:00,2.93,121.12,1.11,4.39,2.3,0.65,0.07,1.36,129.55,True,True,
