scenario,run,success,fail_reason,detected_seconds,promoted_seconds,rto_seconds,rejoin_seconds,pgpool_recovery_seconds,split_brain,primary_count_end,standby_count_end,integrity_ok,txid_before,txid_after,marker_exists_after,readyz_5xx_count,readyz_non200_count,readyz_avg_ms,readyz_p95_ms,alert_fired,alert_cleared_after,deleted_pod,promoted_pod,started_at,finished_at,precheck_seconds,failure_action_seconds,recovery_wait_seconds,verification_seconds,verify_integrity_seconds,verify_roles_seconds,verify_alert_seconds,verify_readyz_seconds,wall_seconds,core_success,extended_success,fail_codes
primary_failover,1,True,,0.15,0.15,27.36,12.42,181.87,False,1,2,True,990,1006,True,1,1,,,False,True,postgres-ha-1,postgres-ha-0,2026-04-02T19:23:40.256780+00:00,2026-04-02T19:27:32.655145+00:00,3.14,27.63,194.29,7.34,2.22,0.57,3.16,1.38,232.4,True,False,FAIL_READYZ_5XX
primary_failover,2,True,,0.12,1.37,11.08,18.21,0.26,False,1,2,True,1008,1024,True,1,1,89.15,94.57,False,True,postgres-ha-0,postgres-ha-1,2026-04-02T19:27:34.655980+00:00,2026-04-02T19:29:28.857025+00:00,3.12,12.59,18.47,80.03,2.2,0.57,0.07,77.19,114.2,True,False,FAIL_READYZ_5XX
primary_failover,3,True,,0.13,0.13,22.86,12.41,176.34,False,1,2,True,1026,1042,True,1,1,5899.31,5899.31,False,True,postgres-ha-1,postgres-ha-0,2026-04-02T19:29:30.857154+00:00,2026-04-02T19:33:13.043805+00:00,2.92,23.12,188.75,7.39,2.27,0.56,3.17,1.38,222.19,True,False,FAIL_READYZ_5XX
primary_failover,4,False,FAIL_SPLIT_BRAIN|FAIL_READYZ_5XX,0.14,0.14,40.93,29.93,0.31,True,1,2,True,1044,1059,True,1,1,21.91,41.36,False,True,postgres-ha-0,postgres-ha-1,2026-04-02T19:33:15.044380+00:00,2026-04-02T19:35:14.630374+00:00,3.38,41.22,30.24,44.75,2.24,0.59,0.07,41.85,119.59,False,False,FAIL_SPLIT_BRAIN|FAIL_READYZ_5XX
primary_failover,5,True,,0.15,0.15,11.37,18.32,194.16,False,1,2,True,1098,1114,True,1,1,,,False,True,postgres-ha-1,postgres-ha-0,2026-04-02T19:37:00.406814+00:00,2026-04-02T19:41:09.050521+00:00,14.21,11.65,212.47,10.31,2.16,0.55,6.24,1.36,248.64,True,False,FAIL_READYZ_5XX
standby_recovery,1,True,,,,,0.82,0.29,False,1,2,True,1116,1126,True,1,1,23.96,48.26,False,True,postgres-ha-1,,2026-04-02T19:41:11.050694+00:00,2026-04-02T19:43:20.814567+00:00,3.0,121.42,1.11,4.24,2.21,0.57,0.07,1.39,129.76,True,False,FAIL_READYZ_5XX
standby_recovery,2,True,,,,,0.89,0.31,False,1,2,True,1128,1138,True,0,0,17.76,39.02,False,True,postgres-ha-1,,2026-04-02T19:43:22.814879+00:00,2026-04-02T19:45:32.630438+00:00,2.93,121.49,1.2,4.2,2.21,0.57,0.07,1.34,129.82,True,True,
standby_recovery,3,True,,,,,0.84,0.25,False,1,2,True,1140,1150,True,0,0,29.13,41.76,False,True,postgres-ha-1,,2026-04-02T19:45:34.630801+00:00,2026-04-02T19:47:44.552499+00:00,3.0,121.53,1.09,4.3,2.2,0.61,0.1,1.39,129.92,True,True,
standby_recovery,4,True,,,,,0.85,0.27,False,1,2,True,1152,1162,True,0,0,19.55,38.79,False,True,postgres-ha-1,,2026-04-02T19:47:46.553094+00:00,2026-04-02T19:49:55.932797+00:00,2.96,120.97,1.12,4.32,2.23,0.65,0.08,1.36,129.38,True,True,
standby_recovery,5,True,,,,,0.79,0.29,False,1,2,True,1164,1174,True,0,0,37.65,72.75,False,True,postgres-ha-1,,2026-04-02T19:49:57.933582+00:00,2026-04-02T19:52:06.746347+00:00,2.96,120.56,1.08,4.21,2.22,0.57,0.07,1.35,128.81,True,True,
