scenario,run,success,fail_reason,detected_seconds,promoted_seconds,rto_seconds,rejoin_seconds,pgpool_recovery_seconds,split_brain,primary_count_end,standby_count_end,integrity_ok,txid_before,txid_after,marker_exists_after,readyz_5xx_count,readyz_non200_count,readyz_avg_ms,readyz_p95_ms,alert_fired,alert_cleared_after,deleted_pod,promoted_pod,started_at,finished_at,precheck_seconds,failure_action_seconds,recovery_wait_seconds,verification_seconds,wall_seconds
primary_failover,1,True,,0.14,0.14,23.23,35.27,59.05,False,1,2,True,2938,2954,True,2,2,681.27,1014.96,False,False,postgres-ha-0,postgres-ha-1,2026-03-25T10:29:33.036701+00:00,2026-03-25T10:31:50.357180+00:00,3.0,23.51,35.54,75.27,137.32
standby_recovery,1,True,,,,,0.85,0.3,False,1,2,True,2956,2966,True,1,1,41.07,196.5,True,True,postgres-ha-0,,2026-03-25T10:31:50.357259+00:00,2026-03-25T10:33:03.497164+00:00,3.01,60.26,1.16,8.72,73.14
