scenario,run,success,fail_reason,detected_seconds,promoted_seconds,rto_seconds,rejoin_seconds,pgpool_recovery_seconds,split_brain,primary_count_end,standby_count_end,integrity_ok,txid_before,txid_after,marker_exists_after,readyz_5xx_count,readyz_non200_count,readyz_avg_ms,readyz_p95_ms,alert_fired,alert_cleared_after,deleted_pod,promoted_pod,started_at,finished_at,precheck_seconds,failure_action_seconds,recovery_wait_seconds,verification_seconds,verify_integrity_seconds,verify_roles_seconds,verify_alert_seconds,verify_readyz_seconds,wall_seconds,core_success,extended_success,fail_codes
primary_failover,1,True,,0.14,0.14,32.78,12.61,,False,1,2,True,777,793,True,4,4,33.32,88.6,False,False,postgres-ha-0,postgres-ha-1,2026-04-02T18:40:55.999404+00:00,2026-04-02T18:46:41.541494+00:00,3.24,33.06,258.48,50.76,2.45,0.62,46.31,1.38,345.54,True,False,FAIL_PGPOOL_RECOVERY_TIMEOUT|FAIL_ALERT_UNCLEARED|FAIL_READYZ_5XX
primary_failover,2,False,FAIL_SPLIT_BRAIN|FAIL_PGPOOL_RECOVERY_TIMEOUT|FAIL_ALERT_UNCLEARED,0.13,0.13,52.72,30.05,,True,1,2,True,795,811,True,0,0,,,True,False,postgres-ha-1,postgres-ha-0,2026-04-02T18:46:43.542097+00:00,2026-04-02T18:53:05.486117+00:00,3.07,52.99,275.4,50.48,2.28,0.57,46.25,1.37,381.94,False,False,FAIL_SPLIT_BRAIN|FAIL_PGPOOL_RECOVERY_TIMEOUT|FAIL_ALERT_UNCLEARED
primary_failover,3,False,FAIL_SPLIT_BRAIN|FAIL_READYZ_5XX,0.16,0.16,43.58,29.97,154.52,True,1,2,True,845,861,True,1,1,,,True,True,postgres-ha-1,postgres-ha-0,2026-04-02T18:54:51.288076+00:00,2026-04-02T18:59:39.591850+00:00,30.95,43.87,184.49,28.98,2.31,0.59,24.72,1.37,288.3,False,False,FAIL_SPLIT_BRAIN|FAIL_READYZ_5XX
primary_failover,4,True,,0.14,1.4,27.61,12.53,188.92,False,1,2,True,895,911,True,2,2,16.02,16.02,True,True,postgres-ha-1,postgres-ha-0,2026-04-02T19:01:26.047715+00:00,2026-04-02T19:05:33.061301+00:00,8.68,29.14,201.45,7.75,2.54,0.65,3.19,1.37,247.01,True,False,FAIL_READYZ_5XX
primary_failover,5,True,,0.14,0.14,22.91,12.6,0.32,False,1,2,True,913,928,True,1,1,25.95,52.95,False,True,postgres-ha-0,postgres-ha-1,2026-04-02T19:05:35.062020+00:00,2026-04-02T19:07:36.289269+00:00,3.02,23.21,12.92,82.07,2.36,0.62,0.09,79.0,121.23,True,False,FAIL_READYZ_5XX
standby_recovery,1,True,,,,,0.86,0.3,False,1,2,True,930,940,True,0,0,26.27,87.1,False,True,postgres-ha-0,,2026-04-02T19:07:38.289723+00:00,2026-04-02T19:09:47.935268+00:00,3.11,121.05,1.16,4.33,2.3,0.58,0.07,1.38,129.65,True,True,
standby_recovery,2,True,,,,,0.84,0.29,False,1,2,True,942,952,True,0,0,45.37,231.9,False,True,postgres-ha-0,,2026-04-02T19:09:49.935627+00:00,2026-04-02T19:11:58.544887+00:00,3.12,120.01,1.13,4.35,2.33,0.57,0.07,1.38,128.61,True,True,
standby_recovery,3,True,,,,,0.84,0.3,False,1,2,True,954,964,True,0,0,30.54,75.85,False,True,postgres-ha-0,,2026-04-02T19:12:00.545360+00:00,2026-04-02T19:14:10.426817+00:00,3.16,121.31,1.15,4.27,2.28,0.55,0.09,1.35,129.88,True,True,
standby_recovery,4,True,,,,,0.84,0.36,False,1,2,True,966,976,True,0,0,24.58,50.19,False,True,postgres-ha-0,,2026-04-02T19:14:12.426969+00:00,2026-04-02T19:16:22.695307+00:00,3.09,121.65,1.2,4.32,2.28,0.57,0.09,1.39,130.27,True,True,
standby_recovery,5,True,,,,,0.94,0.27,False,1,2,True,978,988,True,0,0,24.33,46.54,False,True,postgres-ha-0,,2026-04-02T19:16:24.695889+00:00,2026-04-02T19:18:33.538511+00:00,3.16,120.15,1.21,4.32,2.27,0.61,0.07,1.38,128.84,True,True,
